id,name,account,num_nodes,run_time,submit_time,start_time,end_time,state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
jid_783323,35587.0,13.0,6,19,5737131,6652800,6652820,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,20124.489795918365
jid_839220,76017.0,140.0,128,20,6652481,6652800,6652821,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,451918.36734693876
jid_783323,35587.0,13.0,6,20,5737130,6652800,6652821,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,21183.673469387755
jid_839220,76018.0,140.0,128,21,6652481,6652800,6652822,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,474514.2857142857
jid_839220,76016.0,140.0,128,21,6652481,6652800,6652822,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,474514.2857142857
jid_767066,40504.0,13.0,6,22,5133187,6652800,6652823,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,23302.04081632653
jid_767066,40504.0,13.0,6,23,5133187,6652800,6652824,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,24361.224489795917
jid_823025,14681.0,289.0,255,31,6371626,6652800,6652832,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,1395474.489795918
jid_839220,76009.0,140.0,128,41,6652480,6652800,6652842,JobState.COMPLETED,1.0,0,0,0,176.53061224489795,176.53061224489795,926432.6530612245
jid_827487,67270.0,507.0,144,74,6457399,6652800,6652875,JobState.COMPLETED,0.6452224237005914,0,0,0,133.08846004497033,133.08846004497036,1418190.6302392038
jid_827487,67270.0,507.0,144,78,6457406,6652800,6652879,JobState.COMPLETED,0.6427632867581867,0,0,0,132.78734123569635,132.78734123569635,1491467.4167593415
jid_827843,77733.0,507.0,144,78,6472088,6652800,6652879,JobState.COMPLETED,0.5990919755764608,0,0,0,127.43983374405644,127.43983374405644,1431404.212613242
jid_838304,313.0,728.0,1,388,6651324,6652800,6653189,JobState.COMPLETED,1.0,0,0,0,176.53061224489804,176.53061224489795,68493.87755102044
jid_831234,70904.0,559.0,15,4539,6562293,6648733,6653273,JobState.COMPLETED,1.0,0,0,0,176.53061224489818,176.53061224489795,12019086.734693892
jid_831235,70909.0,559.0,15,4546,6562298,6648737,6653284,JobState.COMPLETED,1.0,0,0,0,176.53061224489818,176.53061224489795,12037622.448979607
jid_821113,66726.0,432.0,4,23503,6431397,6629933,6653437,JobState.COMPLETED,1.0,0,0,0,176.53061224489812,176.53061224489795,16595995.918367362
jid_821378,66511.0,432.0,4,27057,6431123,6626521,6653579,JobState.COMPLETED,1.0,0,0,0,176.53061224489815,176.53061224489795,19105555.10204084
jid_821788,66669.0,432.0,4,1316,6431102,6652800,6654117,JobState.COMPLETED,1.0,0,0,0,176.53061224489767,176.53061224489795,929257.1428571413
jid_838320,1363.0,728.0,1,207,6653952,6653952,6654160,JobState.COMPLETED,1.0,0,0,0,176.5306122448979,176.53061224489795,36541.83673469386
jid_838323,40477.0,728.0,1,1455,6652184,6652800,6654256,JobState.COMPLETED,1.0,0,0,0,176.53061224489755,176.53061224489795,256852.04081632593
jid_820572,66279.0,432.0,1,23315,6429509,6630960,6654276,JobState.COMPLETED,1.0,0,0,0,176.53061224489753,176.53061224489795,4115811.2244897857
jid_838324,67056.0,274.0,1,373,6654043,6654043,6654417,JobState.COMPLETED,1.0,0,0,0,176.53061224489804,176.53061224489795,65845.91836734697
jid_820956,66200.0,432.0,1,24914,6429557,6629560,6654475,JobState.COMPLETED,1.0,0,0,0,176.5306122448974,176.53061224489795,4398083.673469374
jid_821062,63355.0,432.0,4,24458,6431388,6630056,6654515,JobState.COMPLETED,1.0,0,0,0,176.53061224489738,176.53061224489795,17270342.857142802
jid_820845,66086.0,432.0,1,24790,6429564,6630079,6654870,JobState.COMPLETED,1.0,0,0,0,176.53061224489724,176.53061224489795,4376193.877551002
